average_rating,apps_num,Utilities,Auto & Vehicles,Food & Drink,Health & Fitness,Lifestyle,Games,Books & Reference,Business,Entertainment,Social Networking,Education,News,Others
4.75,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.6666666666666665,3,0,0,0,0,0,2,0,0,0,0,1,0,0
4.0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2,0,0,0,2,0,0,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.25,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3,0,0,0,0,0,0,1,0,1,1,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.25,6,0,0,0,0,0,0,0,4,0,2,0,0,0
4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.5,2,0,0,0,0,0,1,0,0,0,0,1,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.25,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.25,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.75,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.8333333333333335,3,0,0,0,0,0,2,0,0,1,0,0,0,0
4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.25,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.431818181818182,22,4,1,0,1,1,0,1,4,4,2,0,0,4
4.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.6666666666666665,6,2,0,0,0,1,0,0,1,0,0,2,0,0
4.5,3,0,0,0,0,0,3,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.5,3,0,0,0,0,0,3,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.166666666666667,3,0,0,0,0,0,3,0,0,0,0,0,0,0
4.0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4.25,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4.166666666666667,3,0,0,0,0,0,3,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.083333333333333,6,0,0,0,0,0,6,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2
4.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.5,3,0,0,0,3,0,0,0,0,0,0,0,0,0
